Designator,Mid X,Mid Y,Rotation,Layer
C1,122.8725,-98.1075,0.0,bottom
C2,256.2225,-98.425,0.0,bottom
C3,146.7,-135.28,90.0,bottom
C4,135.5875,-141.9475,0.0,bottom
C5,154.0025,-144.4875,270.0,bottom
C6,154.0025,-140.6775,90.0,bottom
C7,133.6675,-146.685,90.0,bottom
D1,53.34,-65.7225,180.0,bottom
D10,224.79,-65.7225,180.0,bottom
D11,243.84,-65.7225,180.0,bottom
D12,262.89,-65.7225,180.0,bottom
D13,281.985,-65.7225,180.0,bottom
D14,310.515,-65.7225,180.0,bottom
D15,339.09,-65.7225,180.0,bottom
D16,58.1025,-84.7725,180.0,bottom
D17,81.915,-84.7725,180.0,bottom
D18,101.01,-84.7725,180.0,bottom
D19,120.06,-84.7725,180.0,bottom
D2,72.39,-65.7225,180.0,bottom
D20,139.11,-84.7725,180.0,bottom
D21,158.16,-84.7725,180.0,bottom
D22,177.21,-84.7725,180.0,bottom
D23,196.26,-84.7725,180.0,bottom
D24,215.31,-84.7725,180.0,bottom
D25,234.36,-84.7725,180.0,bottom
D26,253.41,-84.7725,180.0,bottom
D27,272.46,-84.7725,180.0,bottom
D28,291.51,-84.7725,180.0,bottom
D29,315.3225,-84.7725,180.0,bottom
D3,91.44,-65.7225,180.0,bottom
D30,339.135,-84.7725,180.0,bottom
D31,60.37,-103.8225,180.0,bottom
D32,86.7225,-103.8225,180.0,bottom
D33,105.7725,-103.8225,180.0,bottom
D34,124.8225,-103.8225,180.0,bottom
D35,143.8275,-103.8225,180.0,bottom
D36,162.9225,-103.8225,180.0,bottom
D37,181.9725,-103.8225,180.0,bottom
D38,201.0225,-103.8225,180.0,bottom
D39,220.0725,-103.8225,180.0,bottom
D4,110.49,-65.7225,180.0,bottom
D40,239.1225,-103.8225,180.0,bottom
D41,258.1725,-103.8225,180.0,bottom
D42,277.2225,-103.8225,180.0,bottom
D43,308.02,-103.8225,180.0,bottom
D44,339.09,-103.8225,180.0,bottom
D45,65.1325,-122.8725,180.0,bottom
D46,96.2475,-122.8725,180.0,bottom
D47,115.2975,-122.8725,180.0,bottom
D48,134.3475,-122.8725,180.0,bottom
D49,153.3975,-122.8725,180.0,bottom
D5,129.54,-65.7225,180.0,bottom
D50,172.4475,-122.8725,180.0,bottom
D51,191.4975,-122.8725,180.0,bottom
D52,210.5475,-122.8725,180.0,bottom
D53,229.5975,-122.8725,180.0,bottom
D54,248.6475,-122.8725,180.0,bottom
D55,267.6975,-122.8725,180.0,bottom
D56,293.7325,-122.8725,180.0,bottom
D57,320.085,-122.8725,180.0,bottom
D58,339.135,-122.8725,180.0,bottom
D59,55.6075,-141.9225,180.0,bottom
D6,148.59,-65.7225,180.0,bottom
D60,79.42,-141.9225,180.0,bottom
D61,103.2325,-141.9225,180.0,bottom
D62,174.67,-141.9225,180.0,bottom
D63,243.885,-141.9225,180.0,bottom
D64,262.935,-141.9225,180.0,bottom
D65,281.985,-141.9225,180.0,bottom
D66,301.035,-141.9225,180.0,bottom
D67,320.085,-141.9225,180.0,bottom
D68,339.135,-141.9225,180.0,bottom
D7,167.64,-65.7225,180.0,bottom
D8,186.69,-65.7225,180.0,bottom
D9,205.74,-65.7225,180.0,bottom
J1,71.755,-93.98,0.0,bottom
J2,72.0725,-80.01,270.0,bottom
J3,204.47,-148.2725,180.0,bottom
J4,46.4275,-83.185,90.0,bottom
J5,164.465,-142.24,0.0,bottom
R1,75.8825,-76.2,270.0,bottom
R10,164.7825,-147.685,180.0,bottom
R11,144.4775,-135.28,270.0,bottom
R12,142.255,-135.28,90.0,bottom
R2,78.4225,-76.2,270.0,bottom
R3,80.9625,-76.2,270.0,bottom
R4,83.5025,-76.2,270.0,bottom
R5,86.0425,-76.2,270.0,bottom
R6,73.3425,-76.2,270.0,bottom
R7,70.8025,-76.2,90.0,bottom
SW1,54.61,-70.8025,0.0,top
SW10,226.06,-70.8025,0.0,top
